Package,Version,,"""",abind,""""
abind,1.4-8,,"""",afex,""""
afex,1.4-1,,"""",archive,""""
archive,1.1.12,,"""",askpass,""""
askpass,1.2.1,,"""",babynames,""""
babynames,1.0.1,,"""",backports,""""
backports,1.5.0,,"""",base64enc,""""
base64enc,0.1-3,,"""",bayestestR,""""
bayestestR,0.16.1,,"""",bit,""""
bit,4.6.0,,"""",bit64,""""
bit64,4.6.0-1,,"""",bitops,""""
bitops,1.0-9,,"""",blob,""""
blob,1.2.4,,"""",bookdown,""""
bookdown,0.43,,"""",booktem,""""
booktem,0.0.0.9004,,"""",brew,""""
brew,1.0-10,,"""",brio,""""
brio,1.1.5,,"""",broom,""""
broom,1.0.9,,"""",bslib,""""
bslib,0.9.0,,"""",cachem,""""
cachem,1.1.0,,"""",callr,""""
callr,3.7.6,,"""",car,""""
car,3.1-3,,"""",carData,""""
carData,3.0-5,,"""",caTools,""""
caTools,1.18.3,,"""",cellranger,""""
cellranger,1.1.0,,"""",checkmate,""""
checkmate,2.3.2,,"""",cli,""""
cli,3.6.5,,"""",clipr,""""
clipr,0.8.0,,"""",cocor,""""
cocor,1.1-4,,"""",coin,""""
coin,1.4-3,,"""",colorspace,""""
colorspace,2.1-1,,"""",colourpicker,""""
colourpicker,1.3.0,,"""",commonmark,""""
commonmark,2.0.0,,"""",conflicted,""""
conflicted,1.2.0,,"""",correlation,""""
correlation,0.8.8,,"""",corrplot,""""
corrplot,0.95,,"""",cowplot,""""
cowplot,1.2.0,,"""",cowsay,""""
cowsay,1.2.0,,"""",cpp11,""""
cpp11,0.5.2,,"""",crayon,""""
crayon,1.5.3,,"""",credentials,""""
credentials,2.0.2,,"""",crosstalk,""""
crosstalk,1.2.1,,"""",curl,""""
curl,6.4.0,,"""",data.table,""""
data.table,1.17.8,,"""",datardis,""""
datardis,0.0.5,,"""",datawizard,""""
datawizard,1.2.0,,"""",DBI,""""
DBI,1.2.3,,"""",dbplyr,""""
dbplyr,2.5.0,,"""",DEoptimR,""""
DEoptimR,1.1-4,,"""",Deriv,""""
Deriv,4.2.0,,"""",desc,""""
desc,1.4.3,,"""",DescTools,""""
DescTools,0.99.60,,"""",devtools,""""
devtools,2.4.5,,"""",diffobj,""""
diffobj,0.3.6,,"""",digest,""""
digest,0.6.37,,"""",doBy,""""
doBy,4.7.0,,"""",doParallel,""""
doParallel,1.0.17,,"""",downlit,""""
downlit,0.4.4,,"""",dplyr,""""
dplyr,1.1.4,,"""",DT,""""
DT,0.33,,"""",dtplyr,""""
dtplyr,1.3.1,,"""",e1071,""""
e1071,1.7-16,,"""",effectsize,""""
effectsize,1.0.1,,"""",ellipsis,""""
ellipsis,0.3.2,,"""",emmeans,""""
emmeans,1.11.2,,"""",estimability,""""
estimability,1.5.1,,"""",evaluate,""""
evaluate,1.0.4,,"""",Exact,""""
Exact,3.3,,"""",expm,""""
expm,1.0-0,,"""",fansi,""""
fansi,1.0.6,,"""",farver,""""
farver,2.1.2,,"""",fastmap,""""
fastmap,1.2.0,,"""",fontawesome,""""
fontawesome,0.5.3,,"""",forcats,""""
forcats,1.0.0,,"""",foreach,""""
foreach,1.5.2,,"""",Formula,""""
Formula,1.2-5,,"""",fortunes,""""
fortunes,1.5-4,,"""",fs,""""
fs,1.6.6,,"""",gargle,""""
gargle,1.5.2,,"""",generics,""""
generics,0.1.4,,"""",gert,""""
gert,2.1.5,,"""",getPass,""""
getPass,0.2-4,,"""",ggeffects,""""
ggeffects,2.3.0,,"""",ggExtra,""""
ggExtra,0.10.1,,"""",ggplot2,""""
ggplot2,3.5.2,,"""",ggthemes,""""
ggthemes,5.1.0,,"""",gh,""""
gh,1.5.0,,"""",gitcreds,""""
gitcreds,0.1.2,,"""",gld,""""
gld,2.6.7,,"""",glossary,""""
glossary,1.0.0,,"""",glue,""""
glue,1.8.0,,"""",googledrive,""""
googledrive,2.1.1,,"""",googlesheets4,""""
googlesheets4,1.1.1,,"""",GPArotation,""""
GPArotation,2025.3-1,,"""",gridExtra,""""
gridExtra,2.3,,"""",gtable,""""
gtable,0.3.6,,"""",haven,""""
haven,2.5.5,,"""",highr,""""
highr,0.11,,"""",Hmisc,""""
Hmisc,5.2-3,,"""",hms,""""
hms,1.1.3,,"""",htmlTable,""""
htmlTable,2.4.3,,"""",htmltools,""""
htmltools,0.5.8.1,,"""",htmlwidgets,""""
htmlwidgets,1.6.4,,"""",httpuv,""""
httpuv,1.6.16,,"""",httr,""""
httr,1.4.7,,"""",httr2,""""
httr2,1.2.1,,"""",ids,""""
ids,1.0.1,,"""",ini,""""
ini,0.3.1,,"""",insight,""""
insight,1.3.1,,"""",isoband,""""
isoband,0.2.7,,"""",iterators,""""
iterators,1.0.14,,"""",janitor,""""
janitor,2.2.1,,"""",jquerylib,""""
jquerylib,0.1.4,,"""",jsonlite,""""
jsonlite,2.0.0,,"""",kableExtra,""""
kableExtra,1.4.0,,"""",knitr,""""
knitr,1.5,,"""",labeling,""""
labeling,0.4.3,,"""",later,""""
later,1.4.2,,"""",lavaan,""""
lavaan,0.6-19,,"""",lazyeval,""""
lazyeval,0.2.2,,"""",libcoin,""""
libcoin,1.0-10,,"""",lifecycle,""""
lifecycle,1.0.4,,"""",litedown,""""
litedown,0.7,,"""",lme4,""""
lme4,1.1-37,,"""",lmerTest,""""
lmerTest,3.1-3,,"""",lmom,""""
lmom,3.2,,"""",lmtest,""""
lmtest,0.9-40,,"""",lsr,""""
lsr,0.5.2,,"""",lubridate,""""
lubridate,1.9.4,,"""",magrittr,""""
magrittr,2.0.3,,"""",markdown,""""
markdown,2,,"""",MatrixModels,""""
MatrixModels,0.5-4,,"""",matrixStats,""""
matrixStats,1.5.0,,"""",memoise,""""
memoise,2.0.1,,"""",microbenchmark,""""
microbenchmark,1.5.0,,"""",mime,""""
mime,0.13,,"""",miniUI,""""
miniUI,0.1.2,,"""",minqa,""""
minqa,1.2.8,,"""",mnormt,""""
mnormt,2.1.1,,"""",modelbased,""""
modelbased,0.12.0,,"""",modelr,""""
modelr,0.1.11,,"""",modeltools,""""
modeltools,0.2-24,,"""",multcomp,""""
multcomp,1.4-28,,"""",multcompView,""""
multcompView,0.1-10,,"""",munsell,""""
munsell,0.5.1,,"""",mvtnorm,""""
mvtnorm,1.3-3,,"""",naniar,""""
naniar,1.1.0,,"""",nloptr,""""
nloptr,2.2.1,,"""",norm,""""
norm,1.0-11.1,,"""",nortest,""""
nortest,1.0-4,,"""",numDeriv,""""
numDeriv,2016.8-1.1,,"""",opdisDownsampling,""""
opdisDownsampling,1.0.1,,"""",openssl,""""
openssl,2.3.3,,"""",palmerpenguins,""""
palmerpenguins,0.1.1,,"""",pander,""""
pander,0.6.6,,"""",parameters,""""
parameters,0.27.0,,"""",patchwork,""""
patchwork,1.3.1,,"""",pbivnorm,""""
pbivnorm,0.6.0,,"""",pbkrtest,""""
pbkrtest,0.5.5,,"""",pbmcapply,""""
pbmcapply,1.5.1,,"""",performance,""""
performance,0.15.0,,"""",pillar,""""
pillar,1.11.0,,"""",pkgbuild,""""
pkgbuild,1.4.8,,"""",pkgconfig,""""
pkgconfig,2.0.3,,"""",pkgdown,""""
pkgdown,2.1.3,,"""",pkgload,""""
pkgload,1.4.0,,"""",plyr,""""
plyr,1.8.9,,"""",pracma,""""
pracma,2.4.4,,"""",praise,""""
praise,1.0.0,,"""",prettyunits,""""
prettyunits,1.2.0,,"""",processx,""""
processx,3.8.6,,"""",profvis,""""
profvis,0.4.0,,"""",progress,""""
progress,1.2.3,,"""",promises,""""
promises,1.3.3,,"""",proxy,""""
proxy,0.4-27,,"""",ps,""""
ps,1.9.1,,"""",psych,""""
psych,2.5.6,,"""",purrr,""""
purrr,1.1.0,,"""",pwr,""""
pwr,1.3-0,,"""",qqconf,""""
qqconf,1.3.2,,"""",qqplotr,""""
qqplotr,0.0.6,,"""",quadprog,""""
quadprog,1.5-8,,"""",qualtRics,""""
qualtRics,3.2.1,,"""",quantreg,""""
quantreg,6.1,,"""",quarto,""""
quarto,1.5.0,,"""",R6,""""
R6,2.6.1,,"""",ragg,""""
ragg,1.4.0,,"""",rappdirs,""""
rappdirs,0.3.3,,"""",rbibutils,""""
rbibutils,2.3,,"""",rcmdcheck,""""
rcmdcheck,1.4.0,,"""",RColorBrewer,""""
RColorBrewer,1.1-3,,"""",rcompanion,""""
rcompanion,2.5.0,,"""",Rcpp,""""
Rcpp,1.1.0,,"""",RcppEigen,""""
RcppEigen,0.3.4.0.2,,"""",Rdpack,""""
Rdpack,2.6.4,,"""",readr,""""
readr,2.1.5,,"""",readxl,""""
readxl,1.4.5,,"""",reformulas,""""
reformulas,0.4.1,,"""",rematch,""""
rematch,2.0.0,,"""",rematch2,""""
rematch2,2.1.2,,"""",remotes,""""
remotes,2.5.0,,"""",reprex,""""
reprex,2.1.1,,"""",reshape2,""""
reshape2,1.4.4,,"""",rlang,""""
rlang,1.1.6,,"""",rmarkdown,""""
rmarkdown,2.29,,"""",rmsfact,""""
rmsfact,0.0.3,,"""",robustbase,""""
robustbase,0.99-4-1,,"""",rootSolve,""""
rootSolve,1.8.2.4,,"""",roxygen2,""""
roxygen2,7.3.2,,"""",rprojroot,""""
rprojroot,2.1.0,,"""",rstatix,""""
rstatix,0.7.2,,"""",rstudioapi,""""
rstudioapi,0.17.1,,"""",rversions,""""
rversions,2.1.2,,"""",rvest,""""
rvest,1.0.4,,"""",sandwich,""""
sandwich,3.1-1,,"""",sass,""""
sass,0.4.10,,"""",scales,""""
scales,1.4.0,,"""",see,""""
see,0.11.0,,"""",selectr,""""
selectr,0.4-2,,"""",sessioninfo,""""
sessioninfo,1.2.3,,"""",shiny,""""
shiny,1.11.1,,"""",shinyjs,""""
shinyjs,2.1.0,,"""",sjlabelled,""""
sjlabelled,1.2.0,,"""",sjmisc,""""
sjmisc,2.8.11,,"""",sjPlot,""""
sjPlot,2.9.0,,"""",sjstats,""""
sjstats,0.19.1,,"""",snakecase,""""
snakecase,0.11.1,,"""",sourcetools,""""
sourcetools,0.1.7-1,,"""",SparseM,""""
SparseM,1.84-2,,"""",stringi,""""
stringi,1.8.7,,"""",stringr,""""
stringr,1.5.1,,"""",svglite,""""
svglite,2.2.1,,"""",sys,""""
sys,3.4.3,,"""",systemfonts,""""
systemfonts,1.2.3,,"""",testthat,""""
testthat,3.2.3,,"""",textshaping,""""
textshaping,1.0.1,,"""",TH.data,""""
TH.data,1.1-3,,"""",tibble,""""
tibble,3.3.0,,"""",tidyr,""""
tidyr,1.3.1,,"""",tidyselect,""""
tidyselect,1.2.1,,"""",tidyverse,""""
tidyverse,2.0.0,,"""",timechange,""""
timechange,0.3.0,,"""",tinytex,""""
tinytex,0.57,,"""",twosamples,""""
twosamples,2.0.1,,"""",tzdb,""""
tzdb,0.5.0,,"""",UpSetR,""""
UpSetR,1.4.0,,"""",urlchecker,""""
urlchecker,1.0.1,,"""",usethis,""""
usethis,3.1.0,,"""",utf8,""""
utf8,1.2.6,,"""",uuid,""""
uuid,1.2-1,,"""",vctrs,""""
vctrs,0.6.5,,"""",viridis,""""
viridis,0.6.5,,"""",viridisLite,""""
viridisLite,0.4.2,,"""",visdat,""""
visdat,0.6.0,,"""",vroom,""""
vroom,1.6.5,,"""",waldo,""""
waldo,0.6.2,,"""",webexercises,""""
webexercises,1.1.0,,"""",wesanderson,""""
wesanderson,0.3.7,,"""",whisker,""""
whisker,0.4.1,,"""",withr,""""
withr,3.0.2,,"""",xfun,""""
xfun,0.52,,"""",xml2,""""
xml2,1.3.8,,"""",xopen,""""
xopen,1.0.1,,"""",xtable,""""
xtable,1.8-4,,"""",yaml,""""
yaml,2.3.10,,"""",zip,""""
zip,2.3.3,,"""",zoo,""""
zoo,1.8-14,,"""",base,""""
base,4.4.1,,"""",boot,""""
boot,1.3-30,,"""",class,""""
class,7.3-22,,"""",cluster,""""
cluster,2.1.6,,"""",codetools,""""
codetools,0.2-20,,"""",compiler,""""
compiler,4.4.1,,"""",datasets,""""
datasets,4.4.1,,"""",foreign,""""
foreign,0.8-86,,"""",graphics,""""
graphics,4.4.1,,"""",grDevices,""""
grDevices,4.4.1,,"""",grid,""""
grid,4.4.1,,"""",KernSmooth,""""
KernSmooth,2.23-24,,"""",lattice,""""
lattice,0.22-6,,"""",MASS,""""
MASS,7.3-60.2,,"""",Matrix,""""
Matrix,1.7-0,,"""",methods,""""
methods,4.4.1,,"""",mgcv,""""
mgcv,1.9-1,,"""",nlme,""""
nlme,3.1-164,,"""",nnet,""""
nnet,7.3-19,,"""",parallel,""""
parallel,4.4.1,,"""",rpart,""""
rpart,4.1.23,,"""",spatial,""""
spatial,7.3-17,,"""",splines,""""
splines,4.4.1,,"""",stats,""""
stats,4.4.1,,"""",stats4,""""
stats4,4.4.1,,"""",survival,""""
survival,3.6-4,,"""",tcltk,""""
tcltk,4.4.1,,"""",tools,""""
tools,4.4.1,,"""",translations,""""
translations,4.4.1,,"""",utils,""""
utils,4.4.1,,,,
